文件编号,原始文件编号,文件格式,文件夹编号,相机编号,布设点位编号,拍摄日期,拍摄时间,工作天数,对象类别,物种名称,动物数量,性别,独立探测首张,备注
人 (45),人 (45),JPG,756303,SPB3,756303,2023/10/10,8:51,28,,,,,,
人 (46),人 (46),JPG,756303,SPB3,756303,2023/10/10,8:51,28,,,,,,
人 (47),人 (47),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (48),人 (48),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (49),人 (49),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (50),人 (50),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (51),人 (51),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (52),人 (52),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (54),人 (54),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (53),人 (53),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (56),人 (56),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (55),人 (55),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (57),人 (57),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (58),人 (58),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (59),人 (59),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (61),人 (61),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (60),人 (60),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (62),人 (62),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (66),人 (66),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (65),人 (65),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (63),人 (63),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (64),人 (64),JPG,756303,SPB3,756303,2023/10/10,9:07,28,,,,,,
人 (67),人 (67),JPG,756303,SPB3,756303,2023/10/13,10:32,31,,,,,,
人 (69),人 (69),JPG,756303,SPB3,756303,2023/10/13,10:32,31,,,,,1,
人 (68),人 (68),JPG,756303,SPB3,756303,2023/10/13,10:32,31,,,,,,
人 (70),人 (70),JPG,756303,SPB3,756303,2023/10/13,10:32,31,,,,,,
人 (71),人 (71),JPG,756303,SPB3,756303,2023/10/13,10:32,31,,,,,,
人 (72),人 (72),JPG,756303,SPB3,756303,2023/10/13,10:42,31,,,,,,
人 (74),人 (74),JPG,756303,SPB3,756303,2023/10/13,10:42,31,,,,,,
人 (1),人 (1),JPG,756303,SPB3,756303,2023/10/13,10:42,31,,,,,,
人 (75),人 (75),JPG,756303,SPB3,756303,2023/10/13,10:42,31,,,,,,
人 (73),人 (73),JPG,756303,SPB3,756303,2023/10/13,10:42,31,,,,,,
,,,,,,,,,,,,,8,
